id,company,role,location,industry,required_skills,duration_months,stipend
INT137,Aditya Birla,Content Writer,City_321,Disaster Management,"['Salesforce', 'C++', 'PLC']",12,15703
INT138,Wipro,DevOps Engineer,City_306,GovTech,"['STATA', 'JavaScript', 'Electronics Repair', 'Cybersecurity', 'EHR Systems']",6,16467
INT139,Tata Steel,Content Writer,Allahabad,Industry_009,"['UI/UX', 'Cashier']",12,23640
INT140,Bajaj,Digital Marketer,Noida,Industry_014,"['Leadership', 'JavaScript', 'Community Mobilization', 'NLP', 'Graphic Design', 'Selenium']",3,9649
INT141,HDFC Bank,UI/UX Designer,City_218,Solar,"['Field Sales', 'Typing', 'Investment Research', 'Supply Chain', 'Branding', 'Social Work']",3,11947
INT142,Tech Mahindra,Software Developer,City_133,Energy,"['Go', 'Azure', 'Communication']",3,18843
INT143,Infosys,Digital Marketer,City_315,Construction,"['Design Systems', 'CATIA', 'Teamwork', 'Marketing', 'Django']",3,24630
INT144,Bajaj,Data Analyst,City_227,Industry_007,"['Compliance', 'L&D']",12,5733
INT145,Reliance,Product Manager,Jamshedpur,Defense,"['MS Word', 'Remote Sensing', 'Excel', 'HubSpot']",6,13554
INT146,Tech Mahindra,Cloud Engineer,City_324,Cybersecurity,"['Adobe XD', 'EHR Systems']",12,14353
INT147,TCS,Product Manager,Dhanbad,Aerospace,"['VLSI Basics', 'Taxation']",6,21265
INT148,Bajaj,Data Engineer,City_328,Leather,"['Payroll', 'SharePoint', 'Branding', 'Carpentry']",3,17153
INT149,Mahindra,Operations Associate,City_347,Industry_014,"['Tally', 'Digital Marketing', 'Payroll', 'GitHub']",3,13233
INT150,Mahindra,Content Strategist,Tiruchirappalli,Hospitality,"['Postman', 'Labor Laws', 'Python', 'Power BI']",3,23184
INT151,TCS,Technical Support,Bhiwandi,Public Health,"['NoSQL', 'ISO 27001']",3,18519
INT152,L&T,Product Manager,Gurgaon,Leather,"['Requirements Gathering', 'Social Work', 'Deep Learning', 'Public Speaking', 'Kubernetes']",6,21917
INT153,TCS,Recruiter,Pune,Social Welfare,"['Store Management', 'HACCP']",6,19672
INT154,Infosys,DevOps Engineer,City_304,Manufacturing,"['HubSpot', 'Telemedicine Support']",3,20186
INT155,Infosys,UI/UX Designer,City_261,Education,"['Automation Testing', 'Statistics', 'Agile', 'Angular', 'Postman']",12,12510
INT156,ICICI Bank,Data Scientist,Rajkot,GovTech,"['MS Word', 'Requirements Gathering', 'Public Speaking', 'Copywriting']",3,18127
INT157,Wipro,ML Engineer,Sonipat,Manufacturing,"['CAM', 'Labor Laws']",3,16433
INT158,L&T,Full Stack Developer,City_271,Industry_001,"['Manual Testing', 'L&D', 'Telemedicine Support', 'PCB Design']",6,21258
INT159,TCS,UI/UX Designer,Saharanpur,Startups & Incubation,"['CRM', 'Penetration Testing']",12,11565
INT160,Bajaj,Content Writer,Davanagere,Textiles,"['Labor Laws', 'Logistics', 'DevOps', 'Data Analysis']",6,24174
INT161,Infosys,HR Assistant,City_124,Hospitality,"['JavaScript', 'SQL', 'Vue', 'Technical Writing', 'Warehouse Operations']",6,18944
INT162,Infosys,Business Analyst,City_170,Research,"['Go', 'Rural Outreach', 'Spring', 'Zoho', 'Tableau', 'React']",6,24284
INT163,Mahindra,Automation Tester,City_240,Aerospace,"['NoSQL', 'TypeScript', 'Risk Assessment', 'Surveying']",6,24187
INT164,HCL,Recruiter,City_283,Telecommunications,"['Rural Outreach', 'EHR Systems', 'Laboratory Technician', 'Masonry', 'Medical Coding', 'Business Analysis']",12,5099
INT165,ICICI Bank,Product Manager,City_342,Industry_005,"['Sales', 'Power Automate']",3,6385
INT166,HDFC Bank,Supply Chain Analyst,City_312,Aviation,"['Electrical Wiring', 'Copywriting']",12,24593
INT167,Tech Mahindra,Financial Analyst,City_203,Legal,"['Teamwork', 'Solar Installation', 'Canva', 'GIS', 'Flask', 'Penetration Testing']",6,24343
INT168,Mahindra,Automation Tester,Saharanpur,Horticulture,"['Raspberry Pi', 'CATIA', 'Risk Assessment', 'SEM', 'Statistics']",6,17517
INT169,Infosys,DevOps Engineer,Fatehabad,Metro Rail,"['React', 'Presentation', 'ISO 9001', '3D Printing']",6,13134
INT170,HCL,Content Strategist,Sambalpur,Industry_012,"['Labor Laws', 'Bash', 'ISO 27001', 'Claims Processing']",12,21888
INT171,Aditya Birla,Operations Associate,City_305,AgriTech,"['CNC', 'Tableau', 'Embedded Systems', 'Manual Testing', 'C', 'Spring']",12,13654
INT172,Wipro,Mobile App Developer,City_221,Beauty & Wellness,"['Go', 'UI/UX', 'Six Sigma']",3,21894
INT173,Mahindra,Content Strategist,City_277,E-commerce,"['Machine Learning', 'HR']",3,10189
INT174,Aditya Birla,Automation Tester,City_338,Manufacturing,"['NLP', 'Data Entry', 'Data Engineering', 'Accessibility']",6,23728
INT175,L&T,Supply Chain Analyst,City_259,Industry_014,"['Manual Testing', 'GCP', 'Power BI', 'Data Engineering', 'Quality Assurance', 'TypeScript']",12,22612
INT176,L&T,QA Engineer,City_301,AgriTech,"['Rust', 'Node.js', 'Data Entry', 'Inventory Management', 'Confluence', 'Social Media']",12,9529
INT177,Wipro,Technical Support,Saharanpur,Leather,"['Customer Service', 'Adaptability', 'Claims Processing', 'Design Systems']",12,19429
INT178,L&T,Digital Marketer,City_225,Finance,"['GitHub', 'Django', 'Go', 'Confluence', 'Typing', 'CSS']",6,20542
INT179,ICICI Bank,Financial Analyst,City_342,Agriculture,"['Networking', 'Bookkeeping', 'CAM']",3,14815
INT180,Bajaj,Content Writer,Solapur,Industry_012,"['Docker', 'Time Management']",6,24347
INT181,HDFC Bank,Customer Support,Bokaro,Gaming,"['CAD', 'Critical Thinking', 'DevOps', 'Postman', 'Merchandising']",6,23959
INT182,Aditya Birla,Data Engineer,City_245,Event Management,"['Technical Writing', 'CSS']",12,16620
INT183,HCL,Cybersecurity Analyst,Bhiwandi,FinTech,"['ServiceNow', 'SCADA']",6,8686
INT184,ICICI Bank,Copywriter,Faridabad,Ports & Shipping,"['Wind Turbine Basics', 'Agile', 'GitLab', 'Presentation', 'Digital Marketing', 'FSSAI Compliance']",12,23127
INT185,L&T,Product Manager,City_171,Industry_007,"['Accounting', 'Excel', 'PowerApps', 'JMeter', 'SCADA']",12,18046
INT186,Wipro,Business Analyst,City_328,Education,"['Talent Acquisition', 'EHR Systems', 'Solar Installation', 'Digital Marketing', 'Embedded Systems', 'GST']",6,22917
INT187,HCL,Network Engineer,City_136,Advertising,"['Go', 'Technical Writing', 'Automation Testing', 'Time Management', 'Email Marketing']",3,7122
INT188,Mahindra,Software Developer,Maheshtala,Startups & Incubation,"['Statistics', 'Operations', 'Azure', 'Docker']",6,24005
INT189,Maruti Suzuki,Product Manager,City_323,Fisheries,"['Typing', 'Data Entry', 'STATA', 'Python']",12,23804
INT190,Maruti Suzuki,Technical Support,City_114,EdTech,"['Inventory Management', 'MS Excel', 'Medical Coding', 'Problem Solving', 'Graphic Design', 'VLSI Basics']",3,19283
INT191,Wipro,Project Manager,City_203,Railways,"['Microfinance', 'Basic Computer Skills', 'Quality Assurance']",12,23866
INT192,Infosys,Copywriter,Kanpur,Marketing Services,"['Machine Learning', 'Copywriting']",3,12027
INT193,Tech Mahindra,ML Engineer,City_301,Industry_011,"['Auditing', 'UAV Operation', 'Rural Outreach']",12,10349
INT194,Tech Mahindra,Full Stack Developer,Karnal,Industry_006,"['Excel', 'Design Systems', 'UI/UX', '5S', 'POS Systems']",6,5013
INT195,ICICI Bank,Cloud Engineer,City_128,Education,"['Inside Sales', 'CATIA', 'Time Management', 'NLP']",6,15893
INT196,Maruti Suzuki,Content Strategist,Kanpur,E-commerce,"['Marketing', 'Microfinance', 'Social Media', 'Teamwork']",3,13591
INT197,Infosys,Supply Chain Analyst,Moradabad,Handloom,"['Remote Sensing', 'SQL', 'Cybersecurity', 'Medical Coding']",6,13965
INT198,TCS,Customer Support,City_291,Horticulture,"['Flask', 'Lean', 'Rural Outreach', 'KYC', 'Communication']",12,7140
INT199,Maruti Suzuki,HR Assistant,Bikaner,Industry_004,"['PCB Design', 'MS PowerPoint', '3D Printing', 'Microfinance']",12,6370
INT200,L&T,Recruiter,Delhi,Poultry,"['SolidWorks', 'GCP', 'NLP', 'Business Analysis', 'Data Analysis']",6,13875
INT201,Reliance,HR Assistant,Jalandhar,Shared Services,"['Carpentry', 'Powershell', 'Logistics', 'Plumbing']",6,13684
INT202,L&T,Copywriter,City_316,Beauty & Wellness,"['Welding', 'Agile', 'Medical Coding', 'SCADA', 'Procurement', 'AutoCAD']",6,15211
INT203,Cognizant,HR Assistant,City_196,CSR,"['Phlebotomy', 'Deep Learning', 'Field Sales', 'HubSpot']",12,13559
INT204,ICICI Bank,Customer Support,City_338,Media,"['SPSS', 'VLSI Basics']",3,24631
INT205,Aditya Birla,Cloud Engineer,Aurangabad,Industry_002,"['Taxation', 'Agile', 'Medical Coding', 'Bookkeeping', 'Nursing Assistance']",3,16510
INT206,Infosys,Data Scientist,City_243,Transportation,"['Packaging', 'Store Management', 'Django', 'Graphic Design', 'PCB Design']",12,23194
INT207,Maruti Suzuki,Content Writer,Kurukshetra,Horticulture,"['Agile', 'HR', 'Laboratory Technician', 'GIS']",3,8277
